frame.time_epoch,frame.len,ip.src,ip.dst,ip.proto,udp.srcport,udp.dstport,tcp.srcport,tcp.dstport
"1776353309.612348000","66","149.43.98.24","162.125.4.13","6",,,"61646","443"
"1776353309.615803000","66","17.248.228.14","149.43.98.24","6",,,"443","63231"
"1776353309.615804000","66","17.248.228.14","149.43.98.24","6",,,"443","63231"
"1776353309.615804000","1436","17.248.228.14","149.43.98.24","6",,,"443","63231"
"1776353309.615805000","1436","17.248.228.14","149.43.98.24","6",,,"443","63231"
"1776353309.615806000","849","17.248.228.14","149.43.98.24","6",,,"443","63231"
"1776353309.615807000","135","149.43.134.84","149.43.98.24","17","53","41052",,
"1776353309.620143000","91","149.43.134.84","149.43.98.24","17","53","5745",,
"1776353309.621780000","1292","149.43.98.24","142.250.217.227","17","60569","443",,
"1776353309.621797000","1292","149.43.98.24","142.250.217.227","17","60569","443",,
"1776353309.622106000","121","149.43.98.24","142.250.217.227","17","60569","443",,
"1776353309.622737000","765","149.43.98.24","142.250.217.227","17","60569","443",,
"1776353309.632776000","82","142.250.217.227","149.43.98.24","17","443","60569",,
"1776353309.634494000","1292","142.250.217.227","149.43.98.24","17","443","60569",,
"1776353309.640992000","74","149.43.98.24","142.250.190.234","17","57123","443",,
"1776353309.641257000","1292","142.250.217.227","149.43.98.24","17","443","60569",,
"1776353309.641258000","324","142.250.217.227","149.43.98.24","17","443","60569",,
"1776353309.641259000","986","142.250.217.227","149.43.98.24","17","443","60569",,
"1776353309.641260000","67","142.250.217.227","149.43.98.24","17","443","60569",,
"1776353309.641777000","120","149.43.98.24","142.250.217.227","17","60569","443",,
"1776353309.641841000","73","149.43.98.24","142.250.217.227","17","60569","443",,
"1776353309.644493000","64","142.250.217.227","149.43.98.24","17","443","60569",,
"1776353309.652807000","162","142.250.217.227","149.43.98.24","17","443","60569",,
"1776353309.652981000","73","149.43.98.24","142.250.217.227","17","60569","443",,
"1776353309.655541000","66","149.43.98.24","17.248.228.14","6",,,"63231","443"
"1776353309.655543000","66","149.43.98.24","17.248.228.14","6",,,"63231","443"
"1776353309.657338000","570","142.250.217.227","149.43.98.24","17","443","60569",,
"1776353309.684489000","78","149.43.98.24","142.250.217.227","17","60569","443",,
"1776353309.694600000","1076","142.250.190.234","149.43.98.24","17","443","57123",,
"1776353309.694601000","65","142.250.217.227","149.43.98.24","17","443","60569",,
"1776353309.694602000","237","142.250.190.234","149.43.98.24","17","443","57123",,
"1776353309.695139000","77","149.43.98.24","142.250.190.234","17","57123","443",,
"1776353309.716203000","172","162.125.4.13","149.43.98.24","6",,,"443","61647"
"1776353309.716292000","54","149.43.98.24","162.125.4.13","6",,,"61647","443"
"1776353309.730877000","66","142.250.190.234","149.43.98.24","17","443","57123",,
"1776353309.772370000","54","149.43.98.24","162.125.4.13","6",,,"61646","443"
"1776353309.781723000","66","162.125.4.13","149.43.98.24","6",,,"443","61646"
"1776353309.816124000","430","162.125.21.3","149.43.98.24","6",,,"443","61466"
"1776353309.816265000","66","149.43.98.24","162.125.21.3","6",,,"61466","443"
"1776353309.818008000","1119","149.43.98.24","162.125.21.3","6",,,"61466","443"
"1776353309.835178000","66","162.125.21.3","149.43.98.24","6",,,"443","61466"
"1776353309.835281000","206","149.43.98.24","162.125.21.3","6",,,"61466","443"
"1776353309.841318000","870","162.125.4.13","149.43.98.24","6",,,"443","61646"
"1776353309.841408000","66","149.43.98.24","162.125.4.13","6",,,"61646","443"
"1776353309.850705000","66","162.125.21.3","149.43.98.24","6",,,"443","61466"
"1776353309.937957000","146","149.43.98.24","17.248.228.14","6",,,"63231","443"
"1776353309.954088000","369","17.248.228.14","149.43.98.24","6",,,"443","63231"
"1776353309.954091000","369","17.248.228.14","149.43.98.24","6",,,"443","63231"
"1776353309.954092000","128","17.248.228.14","149.43.98.24","6",,,"443","63231"
"1776353310.074992000","54","149.43.98.24","162.125.4.13","6",,,"61646","443"
"1776353310.175557000","54","149.43.98.24","160.79.104.10","6",,,"61645","443"
"1776353310.186726000","66","160.79.104.10","149.43.98.24","6",,,"443","61645"
"1776353310.192770000","1119","149.43.98.24","162.125.21.3","6",,,"61466","443"
"1776353310.200406000","128","17.248.228.14","149.43.98.24","6",,,"443","63231"
"1776353310.207450000","146","149.43.98.24","17.248.228.14","6",,,"63231","443"
"1776353310.207483000","54","149.43.98.24","17.248.228.14","6",,,"63231","443"
"1776353310.208110000","66","162.125.21.3","149.43.98.24","6",,,"443","61466"
"1776353310.208182000","668","149.43.98.24","162.125.21.3","6",,,"61466","443"
"1776353310.222891000","78","17.248.228.14","149.43.98.24","6",,,"443","63231"
"1776353310.222892000","66","17.248.228.14","149.43.98.24","6",,,"443","63231"
"1776353310.222893000","66","162.125.21.3","149.43.98.24","6",,,"443","61466"
"1776353310.234170000","66","149.43.98.24","17.248.228.14","6",,,"63231","443"
"1776353310.234174000","78","149.43.98.24","17.248.228.14","6",,,"63231","443"
"1776353310.251967000","495","149.43.98.24","17.248.228.14","6",,,"63231","443"
"1776353310.252325000","97","149.43.98.24","17.248.228.14","6",,,"63231","443"
"1776353310.252451000","421","149.43.98.24","17.248.228.14","6",,,"63231","443"
"1776353310.252533000","421","149.43.98.24","17.248.228.14","6",,,"63231","443"
"1776353310.252639000","459","149.43.98.24","17.248.228.14","6",,,"63231","443"
"1776353310.252705000","459","149.43.98.24","17.248.228.14","6",,,"63231","443"
"1776353310.269381000","66","17.248.228.14","149.43.98.24","6",,,"443","63231"
"1776353310.269382000","97","17.248.228.14","149.43.98.24","6",,,"443","63231"
"1776353310.269383000","66","17.248.228.14","149.43.98.24","6",,,"443","63231"
"1776353310.269383000","66","17.248.228.14","149.43.98.24","6",,,"443","63231"
"1776353310.269384000","292","17.248.228.14","149.43.98.24","6",,,"443","63231"
"1776353310.269385000","292","17.248.228.14","149.43.98.24","6",,,"443","63231"
"1776353310.269645000","66","149.43.98.24","17.248.228.14","6",,,"63231","443"
"1776353310.269648000","66","149.43.98.24","17.248.228.14","6",,,"63231","443"
"1776353310.270627000","518","17.248.228.14","149.43.98.24","6",,,"443","63231"
"1776353310.271202000","66","149.43.98.24","17.248.228.14","6",,,"63231","443"
"1776353310.276498000","54","149.43.98.24","162.125.4.13","6",,,"61646","443"
"1776353310.286354000","66","162.125.4.13","149.43.98.24","6",,,"443","61646"
"1776353310.611947000","212","149.43.98.24","239.255.255.250","17","49432","1900",,
"1776353310.978943000","54","149.43.98.24","34.149.66.154","6",,,"61638","443"
"1776353310.996314000","66","34.149.66.154","149.43.98.24","6",,,"443","61638"
"1776353311.107502000","54","149.43.98.24","17.248.228.14","6",,,"63231","443"
"1776353311.147765000","66","17.248.228.14","149.43.98.24","6",,,"443","63231"
"1776353311.281900000","1292","149.43.98.24","172.64.146.215","17","57692","443",,
"1776353311.281955000","1292","149.43.98.24","172.64.146.215","17","57692","443",,
"1776353311.281989000","1014","149.43.98.24","172.64.146.215","17","57692","443",,
"1776353311.282046000","238","149.43.98.24","172.64.146.215","17","57692","443",,
"1776353311.291790000","1292","149.43.98.24","172.64.146.215","17","57692","443",,
"1776353311.291809000","1292","149.43.98.24","172.64.146.215","17","57692","443",,
"1776353311.291811000","1292","149.43.98.24","172.64.146.215","17","57692","443",,
